Customer_ID,Name,Last_Name,Age,Phone,Email
1,María Guadalupe,Rodríguez,22,5502718463,mariaguadalupe.rodriguez@g.com
2,Juan Carlos,López,76,5574548529,juancarlos.lopez@g.com
3,Ana Karen,García,71,5591078285,anakaren.garcia@g.com
4,Eduardo,Pérez,56,5526057529,eduardo.perez@g.com
5,Alejandra,Martínez,74,5532902048,alejandra.martinez@g.com
6,Jorge,Hernández,58,5559402079,jorge.hernandez@g.com
7,Laura,Sánchez,58,5571683200,laura.sanchez@g.com
8,Luis,Torres,66,5512876585,luis.torres@g.com
9,Gabriela,Morales,42,5539380521,gabriela.morales@g.com
10,Carlos,Gonzále,37,5502036819,carlos.gonzalez@g.com
